Begin Scene,,C101Pre
Play Sound,,"scene_omen, loop, 2"
Nathan Trucks,C101Pre_000000,"Same shit, different day…"
Cliff Wells,C101Pre_000010,"What, you complaining?"
Thomas Grail,C101Pre_000020,"Yeah, I thought you liked this."
,C101Pre_000030,Isn’t that why you reenlisted?
Nathan Trucks,C101Pre_000040,I reenlisted because I couldn’t stand civilians.
Thomas Grail,C101Pre_000050,"Why, what’s wrong with—"
Stop Sound,,"scene_omen, 5"
Lou Rapp,C101Pre_000060,"Stow it, dipshits."
,C101Pre_000070,Focus on the exercise.
Thomas Grail,C101Pre_000080,"Sir, yes sir!"
Nathan Trucks,C101Pre_000090,Follow my lead and you’ll be fine.
,C101Pre_000100,I could do this in my sleep.
,,
Begin Scene,,C101Post
Play Sound,,"siren, 2"
Cliff Wells,C101Post_000000,"Ah, shit."
Play Sound,,jeep_enter
Play Animation Delay,,"1, 50"
John Taber,C101Post_000010,It’s an alert! We’re being called on alert!
Play Sound,,jeep_exit
Play Animation Delay,,"70, 95"
Lou Rapp,C101Post_000020,Get your asses in gear and get ready to deploy.
Play Animation,,"1, 1"
Thomas Grail,C101Post_000030,Deploy? Deploy where?
David Guerrero,C101Post_000040,"You really oughta know better, Grail."
Thomas Grail,C101Post_000050,"Well, I don’t like this."
Nathan Trucks,C101Post_000060,What’s not to like?
,C101Post_000070,Ah… finally gonna see some action again.
,,
Begin Scene,,C102Pre
Play Sound,,"scene_urgency, loop, 2"
Play Sound,,"apc_loop, loop, 2"
Thomas Grail,C102Pre_000000,This is crazy. What the fuck is going on?
David Guerrero,C102Pre_000010,You keep acting like you’re entitled to that information.
Cliff Wells,C102Pre_000020,"Huh. Ain’t a drill, that’s for damn sure."
Thomas Grail,C102Pre_000030,How many miles you think we’ve gone?
Nathan Trucks,C102Pre_000040,Mm. We’re close.
Thomas Grail,C102Pre_000050,Close to what?
Nathan Trucks,C102Pre_000060,"I can feel it, man."
,C102Pre_000070,Shit’s gonna hit the fan.
Cliff Wells,C102Pre_000080,Get a load of this guy.
,C102Pre_000090,"Fucker comes back from ‘Nam, now he’s some mystical war prophet."
David Guerrero,C102Pre_000100,"Let it go, man."
Nathan Trucks,C102Pre_000110,Ignore me and get killed if you want.
,C102Pre_000120,I don’t give a shit.
,,
Begin Scene,,C102Post
Play Sound,,"scene_omen, loop, 2"
